               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.036885,            0.028776,                   0,             0.63897,             0.62582,              0.6624,             0.32291,            0.042816,            0.027172,                   0,            0.004984,            0.004984,            0.004984
                  40,            0.035818,            0.029097,                   0,             0.60102,             0.64899,             0.64514,             0.31281,            0.043443,            0.027802,                   0,            0.004852,            0.004852,            0.004852
                  41,            0.036915,            0.028884,                   0,              0.6231,             0.63241,             0.64735,             0.32019,            0.043577,            0.027187,                   0,             0.00472,             0.00472,             0.00472
                  42,            0.035602,            0.029075,                   0,             0.61308,             0.66403,             0.65243,             0.31864,            0.044089,            0.027842,                   0,            0.004588,            0.004588,            0.004588
                  43,            0.035201,            0.027761,                   0,             0.60514,             0.63373,             0.62166,             0.29323,            0.044121,            0.028002,                   0,            0.004456,            0.004456,            0.004456
                  44,            0.035125,             0.02967,                   0,              0.6525,             0.61353,              0.6526,             0.32169,            0.043506,            0.027951,                   0,            0.004324,            0.004324,            0.004324
                  45,            0.035033,             0.02789,                   0,              0.6778,             0.61924,             0.66198,             0.32075,            0.043742,             0.02761,                   0,            0.004192,            0.004192,            0.004192
                  46,            0.035001,            0.028343,                   0,             0.66639,              0.6166,             0.65359,              0.3222,            0.043398,            0.027555,                   0,             0.00406,             0.00406,             0.00406
                  47,            0.034393,             0.02725,                   0,             0.63613,             0.58966,             0.61463,             0.29404,            0.044571,            0.028628,                   0,            0.003928,            0.003928,            0.003928
                  48,            0.034877,            0.026816,                   0,             0.62322,             0.65481,             0.63892,             0.30503,            0.044451,            0.028133,                   0,            0.003796,            0.003796,            0.003796
                  49,            0.034238,            0.028522,                   0,             0.61803,             0.62978,             0.63146,               0.307,            0.044127,            0.028519,                   0,            0.003664,            0.003664,            0.003664
                  50,            0.033206,            0.026921,                   0,             0.60691,             0.66403,             0.64061,             0.31779,              0.0439,            0.028328,                   0,            0.003532,            0.003532,            0.003532
                  51,            0.033602,            0.026791,                   0,             0.62254,             0.62582,             0.64537,             0.30983,            0.044083,             0.02882,                   0,              0.0034,              0.0034,              0.0034
                  52,            0.033696,            0.027063,                   0,               0.583,              0.6087,              0.5996,             0.28601,            0.045416,            0.029801,                   0,            0.003268,            0.003268,            0.003268
                  53,            0.033835,            0.027565,                   0,             0.61837,             0.62319,             0.62525,             0.30761,            0.044051,            0.029126,                   0,            0.003136,            0.003136,            0.003136
                  54,            0.033265,            0.026856,                   0,             0.61245,             0.64961,             0.63691,             0.31281,            0.043826,            0.028404,                   0,            0.003004,            0.003004,            0.003004
                  55,            0.032296,            0.024988,                   0,             0.58397,             0.64559,              0.6142,             0.29588,            0.044751,            0.029411,                   0,            0.002872,            0.002872,            0.002872
                  56,            0.032417,            0.026019,                   0,             0.62964,             0.63768,             0.62861,             0.30387,            0.044304,            0.028844,                   0,             0.00274,             0.00274,             0.00274
                  57,            0.032228,            0.026986,                   0,             0.61261,             0.64163,             0.61877,             0.30405,            0.044281,            0.029211,                   0,            0.002608,            0.002608,            0.002608
                  58,            0.031819,            0.026443,                   0,             0.57132,             0.65876,             0.61798,             0.29864,            0.044268,            0.030091,                   0,            0.002476,            0.002476,            0.002476
                  59,             0.03196,            0.025827,                   0,             0.61114,              0.6166,             0.62302,             0.30253,            0.044281,             0.02964,                   0,            0.002344,            0.002344,            0.002344
                  60,            0.031544,            0.026265,                   0,              0.6134,             0.63241,             0.62664,             0.30686,            0.044193,            0.029496,                   0,            0.002212,            0.002212,            0.002212
                  61,            0.031848,            0.025244,                   0,               0.573,             0.63296,             0.60036,             0.29487,            0.044932,            0.030188,                   0,             0.00208,             0.00208,             0.00208
                  62,            0.031058,            0.025804,                   0,             0.59987,             0.66959,             0.64631,             0.30783,            0.044528,             0.02982,                   0,            0.001948,            0.001948,            0.001948
                  63,            0.031668,            0.025492,                   0,               0.598,             0.66441,             0.63147,             0.30274,            0.044425,            0.030023,                   0,            0.001816,            0.001816,            0.001816
